donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),150000,176740.2,,,1,1,1,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),190000,150000,,,1,1,1,0,26,Junior
Salta,Full-Time,Staff (planta permanente),206000,180000,,,0,0,0,0,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),261324,216825,,,3,4,3,0,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),85000,85000,,,0,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),254000,201000,,,9,0,0,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,700000,Cobro parte del salario en dólares,,15,2,2,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),436000,436000,,,15,2.5,2.5,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1070000,,,,27,11,11,5,46,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),130000,100000,,,3,1,1,0,32,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),250000,190000,,,20,10,10,1,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),392000,275000,Cobro parte del salario en dólares,170,4,0,4,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,315000,Cobro parte del salario en dólares,,3,2,0,0,30,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),460000,280000,,,2,2,1,0,30,Junior
Santa Fe,Full-Time,Staff (planta permanente),260000,216000,,,1,0,0,0,30,Junior
Córdoba,Full-Time,Staff (planta permanente),257000,196000,Cobro parte del salario en dólares,Oficial,4,1,0,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),984000,611000,,,1,0,0,10,37,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),385356,271680,,,3.5,5,3.5,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),317000,250000,,,10,0,0,0,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),556000,360000,,,3,0,3,1,43,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),373000,260000,,,3,2,1.5,2,27,Semi-Senior
Córdoba,Part-Time,Staff (planta permanente),171000,142000,,,2,2,2,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),180000,180000,,,30,30,20,3,50,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1341290,846102,,,4,3,3,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),122000,139859,,,4,3,3,0,29,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),145000,120000,,,10,0,0,0,29,Senior
Misiones,Full-Time,Staff (planta permanente),620000,576000,Cobro parte del salario en dólares,170,2,0,0,0,35,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),902000,512000,,,17,3,3,1,44,Senior
Santa Fe,Full-Time,Staff (planta permanente),580000,364000,,,5,5,5,0,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),278600,231000,,,0,1,0,0,27,Junior
Buenos Aires,Full-Time,Staff (planta permanente),270000,220000,,,2,1.5,1.5,1,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),375000,399000,,,5,2,2,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000,560000,,,20,16,0,4,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1000000,710000,Cobro parte del salario en dólares,315,4,1,0,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),362156,299000,,,4,0,0,0,22,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),187700,155500 lil,,,0,0,0,0,55,Junior
Santa Fe,Full-Time,Staff (planta permanente),415000,315000,,,17,14,14,0,37,Senior
Salta,Full-Time,Staff (planta permanente),375000,245000,,,18,13,3,0,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),580000,420000,,,11,7,7,0,38,Senior
Santa Fe,Full-Time,Staff (planta permanente),350000,282000,,,1.5,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1300000,,Cobro todo el salario en dólares,311,3,0,0,0,41,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1180000,1180000,Cobro todo el salario en dólares,295,5,1,1,1,29,Semi-Senior
